timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-10 13:19:42,117,MBytes,24.5,0.755,1069/88983,1.2
2024-04-10 13:23:42,64.4,MBytes,13.5,0.965,40733/88964,46
2024-04-10 13:29:42,118,MBytes,24.8,0.640,561/89278,0.63
2024-04-10 13:33:42,118,MBytes,24.6,0.703,1133/89283,1.3
2024-04-10 13:43:42,83.0,MBytes,17.3,0.588,26856/88992,30
2024-04-10 13:53:42,96.9,MBytes,20.3,0.554,16415/89011,18
2024-04-10 14:03:42,89.8,MBytes,18.8,0.645,21494/88716,24
2024-04-10 14:13:42,115,MBytes,24.0,0.708,3071/89025,3.4
2024-04-10 14:19:42,113,MBytes,23.5,0.619,4948/89275,5.5
2024-04-10 14:23:42,84.4,MBytes,17.6,0.698,25580/88779,29
2024-04-10 14:29:42,90.8,MBytes,19.0,0.504,20660/88690,23
2024-04-10 14:33:42,104,MBytes,21.8,0.439,10399/88530,12
2024-04-10 14:39:42,97.4,MBytes,20.4,1.092,15658/88606,18
2024-04-10 14:43:42,86.9,MBytes,18.2,0.853,23522/88595,27
2024-04-10 14:49:42,55.9,MBytes,11.7,0.682,46847/88706,53
2024-04-10 14:53:42,101,MBytes,21.2,1.275,13061/88865,15
2024-04-10 14:59:42,78.2,MBytes,16.4,1.110,30130/88728,34
2024-04-10 15:03:42,71.9,MBytes,15.0,0.558,35180/89031,40
2024-04-10 15:13:42,108,MBytes,22.5,0.576,8453/88981,9.5
2024-04-10 15:23:42,108,MBytes,22.6,0.622,8171/89253,9.2
2024-04-10 15:33:42,76.9,MBytes,16.1,0.715,31122/88697,35
2024-04-10 15:39:42,91.1,MBytes,19.1,0.913,20312/88558,23
2024-04-10 15:43:42,87.1,MBytes,18.2,0.757,24068/89270,27
2024-04-10 15:49:42,76.7,MBytes,16.0,1.316,31435/88915,35
2024-04-10 15:53:42,118,MBytes,24.7,0.616,645/89165,0.72
2024-04-10 15:59:42,113,MBytes,23.7,0.505,4189/89191,4.7
2024-04-10 16:03:42,79.4,MBytes,16.6,0.490,29060/88565,33
2024-04-10 16:09:42,98.3,MBytes,20.6,0.508,15037/88663,17
2024-04-10 16:13:42,111,MBytes,23.3,0.424,5069/88570,5.7
