timestamp,min,avg,max,mdev
2024-05-12 06:26:40,22.756,36.675,51.814,7.485
2024-05-12 06:27:42,22.945,31.495,46.469,5.403
2024-05-12 06:29:40,23.062,34.284,70.185,9.404
2024-05-12 06:30:41,23.034,36.704,63.240,9.147
2024-05-12 06:31:41,26.656,47.311,63.547,10.092
2024-05-12 06:32:42,21.843,40.387,116.480,16.876
2024-05-12 06:33:41,22.636,32.917,50.921,6.884
2024-05-12 06:34:40,26.143,35.175,55.246,6.602
2024-05-12 06:35:40,23.606,35.448,55.260,7.499
2024-05-12 06:36:40,24.701,36.788,60.838,7.890
2024-05-12 06:37:42,21.571,31.745,102.111,12.730
2024-05-12 06:39:41,23.739,38.054,59.066,9.510
2024-05-12 06:40:41,20.502,36.203,107.208,15.747
2024-05-12 06:41:41,23.024,43.217,179.028,32.328
2024-05-12 06:42:42,22.350,30.687,49.763,6.149
2024-05-12 06:43:41,21.896,30.101,51.161,5.573
2024-05-12 06:44:41,24.338,44.203,129.811,18.988
2024-05-12 06:45:40,21.347,34.079,65.658,8.308
2024-05-12 06:46:40,24.160,36.025,76.158,9.014
2024-05-12 06:47:41,22.814,31.642,51.182,5.777
2024-05-12 06:49:40,23.299,35.737,73.930,9.739
2024-05-12 06:50:40,23.896,35.806,60.155,8.906
2024-05-12 06:51:40,23.165,43.612,65.738,11.256
2024-05-12 06:52:41,22.505,34.646,80.642,12.339
2024-05-12 06:53:40,23.890,34.567,90.258,10.488
2024-05-12 06:54:40,24.072,39.144,108.496,15.008
2024-05-12 06:55:40,21.635,45.797,81.863,13.662
2024-05-12 06:56:40,21.523,37.516,58.295,8.935
2024-05-12 06:57:41,21.690,27.481,34.319,3.524
2024-05-12 06:59:40,24.082,38.760,77.883,9.345
2024-05-12 07:00:40,22.334,38.172,58.983,9.201
2024-05-12 07:01:40,31.914,43.043,66.662,7.201
2024-05-12 07:02:41,24.018,34.642,57.995,8.024
2024-05-12 07:03:40,24.757,39.313,53.603,8.146
2024-05-12 07:04:40,23.013,35.173,60.650,8.559
2024-05-12 07:05:40,22.372,37.901,58.194,8.201
2024-05-12 07:06:41,22.927,37.691,53.844,6.969
2024-05-12 07:07:41,21.736,32.685,47.785,6.529
2024-05-12 07:09:40,23.376,42.204,70.069,11.693
2024-05-12 07:10:40,23.532,39.571,58.732,9.891
2024-05-12 07:11:40,34.584,56.840,90.644,13.614
2024-05-12 07:12:41,23.478,37.818,85.061,11.924
2024-05-12 07:13:41,21.247,35.090,57.105,8.647
2024-05-12 07:14:40,20.704,40.188,80.508,12.953
2024-05-12 07:15:40,22.884,38.576,70.036,11.084
2024-05-12 07:16:40,20.583,39.057,61.671,9.155
2024-05-12 07:17:40,21.085,35.152,67.585,11.296
2024-05-12 07:19:40,23.831,42.780,101.801,15.200
2024-05-12 07:20:40,21.829,31.255,54.897,7.561
